lat,lon,category,label
45.3555,-90.5454,disease,Disease damage to trees
48.3322,-113.1530,fire,Fire damage (general)
43.2261,-76.5016,insects,Insect damage to trees
42.6761,-118.7673,animal,Domestic animal/livestock
40.9780,-74.5098,insects,Insect damage to trees
40.8714,-89.3536,weather,Flooding
43.5214,-115.5202,fire,Fire damage (general)
36.9902,-85.0752,animal,Rabbit
33.3239,-92.4980,weather,Ice
45.4048,-121.4217,insects,Insect damage
43.7787,-121.8744,disease,Disease damage to trees
38.7189,-91.3892,weather,Flooding
47.8961,-120.5826,weather,Weather damage
37.8541,-84.4223,insects,Insect damage to trees
42.2297,-105.4286,fire,Fire damage (general)
44.0376,-71.1710,disease,Disease damage
34.8576,-93.3640,weather,Ice
36.8935,-83.2858,vegetation,Vegetation (competition/vines)
40.1108,-111.3479,fire,Fire damage (general)
34.5430,-95.8650,fire,Ground fire
43.8383,-75.7644,weather,Flooding
32.0584,-89.5571,fire,Ground fire
41.2832,-74.7875,insects,Insect damage
38.3429,-91.0566,animal,Domestic animal/livestock
40.2528,-121.4654,disease,Disease damage to trees
35.5939,-77.3806,weather,Wind/hurricane/tornado
45.0146,-111.7599,insects,Insect damage
42.8606,-78.7337,insects,Insect damage to trees
47.3690,-113.9829,fire,Ground fire
31.8131,-92.5328,fire,Ground fire
43.4469,-86.2920,insects,Insect damage to trees
43.7500,-109.9455,insects,Insect damage
30.0198,-84.7394,fire,Fire damage (general)
40.2393,-78.6393,animal,Deer/ungulate
43.4790,-115.3951,fire,Fire damage (general)
32.1672,-85.8135,fire,Ground fire
32.1139,-83.2479,fire,Ground fire
37.7637,-79.5965,other,Human-induced
47.9918,-120.1050,fire,Fire damage (general)
46.5214,-94.6701,animal,Domestic animal/livestock
36.0054,-111.8295,disease,Disease damage
41.0279,-82.9903,insects,Insect damage to trees
36.1865,-82.3923,insects,Insect damage
46.8847,-111.2810,insects,Insect damage to trees
42.8621,-121.1601,animal,Domestic animal/livestock
40.3107,-111.5097,disease,Disease damage to trees
45.5801,-93.7583,weather,Wind/hurricane/tornado
45.0731,-92.7254,disease,Disease damage to trees
47.8136,-124.3238,disease,Disease damage to trees
40.7827,-99.8458,disease,Disease damage
47.4864,-95.5059,weather,Wind/hurricane/tornado
43.4015,-121.2417,fire,Ground fire
34.2422,-85.8736,fire,Ground fire
37.4366,-94.8911,animal,Domestic animal/livestock
45.7287,-68.4129,disease,Disease damage to trees
40.9432,-94.0577,other,Human-induced
31.1308,-82.1491,fire,Ground fire
33.4724,-100.6614,fire,Fire damage (general)
36.9100,-84.2853,insects,Insect damage
42.0414,-85.8548,insects,Insect damage
48.5242,-119.2187,fire,Ground fire
37.6117,-83.8329,fire,Fire damage (general)
38.4764,-79.8345,insects,Insect damage
39.4684,-115.1951,insects,Insect damage to trees
39.2852,-91.3949,animal,Domestic animal/livestock
37.0960,-94.0567,animal,Domestic animal/livestock
43.7156,-91.3810,disease,Disease damage to trees
35.5111,-111.6512,weather,Drought
44.7069,-110.4353,disease,Disease damage to trees
35.6730,-92.1617,fire,Ground fire
48.4403,-94.7002,animal,Beaver
44.4358,-70.1141,insects,Insect damage
41.0449,-122.4862,disease,Disease damage to trees
34.8901,-86.7492,animal,Animal damage
36.3882,-85.8371,insects,Insect damage to trees
35.2610,-82.8798,fire,Ground fire
42.7120,-109.3466,insects,Insect damage
35.6943,-110.0034,insects,Insect damage
43.0150,-75.8622,vegetation,Vegetation (competition/vines)
41.9062,-79.2654,disease,Disease damage to trees
34.6798,-94.8676,weather,Flooding
46.2656,-87.8716,insects,Insect damage
39.6610,-109.8907,disease,Disease damage to trees
31.4756,-82.6224,disease,Disease damage
38.0817,-82.4292,fire,Fire damage (general)
48.5669,-118.8857,insects,Insect damage to trees
43.2966,-102.2319,animal,Domestic animal/livestock
43.8094,-103.5391,animal,Domestic animal/livestock
47.5795,-91.6298,fire,Fire damage (general)
36.7457,-120.9221,animal,Domestic animal/livestock
30.4414,-82.3013,fire,Fire damage (general)
48.2520,-109.6561,fire,Ground fire
34.0579,-88.8754,fire,Ground fire
30.3710,-94.7466,vegetation,Vegetation (competition/vines)
40.0091,-81.5494,vegetation,Vegetation (competition/vines)
39.2412,-80.4240,animal,Domestic animal/livestock
35.6314,-76.0627,weather,Weather damage
48.5522,-118.5086,disease,Disease damage
31.8811,-92.7743,fire,Ground fire
48.1582,-120.2024,fire,Ground fire
35.5697,-93.4442,fire,Ground fire
38.8892,-78.2224,insects,Insect damage
37.4361,-108.8494,insects,Insect damage
46.9001,-115.2225,disease,Disease damage to trees
